county,date,new_cases,case_avg,daily_change
桃園市,2022-09-19,3403,4435,0.023202926732803768
桃園市,2022-09-20,4091,4373.857142857143,-0.013786439040103017
桃園市,2022-09-21,5200,4337.714285714285,-0.008263383087827172
桃園市,2022-09-22,4488,4299.142857142857,-0.008892109076537976
桃園市,2022-09-23,4153,4256,-0.010035222968033435
桃園市,2022-09-24,4152,4226.285714285715,-0.00698174006444674
桃園市,2022-09-25,4098,4226.428571428572,3.380205516489254e-5
桃園市,2022-09-26,3153,4190.714285714285,-0.008450228156160339
桃園市,2022-09-27,4220,4209.142857142857,0.004397477416055937
桃園市,2022-09-28,5470,4247.714285714285,0.009163725224002143
桃園市,2022-09-29,4832,4296.857142857143,0.011569247326293287
桃園市,2022-09-30,4570,4356.428571428572,0.01386395372032712
桃園市,2022-10-01,0,3763.285714285714,-0.1361534677816036
桃園市,2022-10-02,4661,3843.714285714286,0.021371901453896707
桃園市,2022-10-03,3901,3950.5714285714284,0.027800490596892834
桃園市,2022-10-04,4834,4038.285714285714,0.022202936284081886
桃園市,2022-10-05,6028,4118,0.019739634922881014
桃園市,2022-10-06,4963,4136.714285714285,0.004544508429889588
桃園市,2022-10-07,5603,4284.285714285715,0.03567358497081899
桃園市,2022-10-08,4630,4945.714285714285,0.1543847949316437
桃園市,2022-10-09,4888,4978.142857142857,0.006556903523974608
桃園市,2022-10-10,3627,4939,-0.00786294372542825
桃園市,NA,0,0,0
桃園市,NA,13,10,0.14754098360655749
桃園市,NA,3,18.428571428571427,-0.07194244604316556
桃園市,NA,6,18,-0.023255813953488292
桃園市,NA,12,12.857142857142858,-0.375
桃園市,NA,7,12.714285714285714,0.011363636363636324
桃園市,NA,22,15.285714285714286,-0.21897810218978103
桃園市,NA,15,18.571428571428573,0.10169491525423735
桃園市,NA,11,18.142857142857142,-0.030534351145038247
桃園市,NA,1071,481.57142857142856,0.3592741935483871
台北市,2021-05-15,89,0,0
台北市,2021-05-16,89,0,0
台北市,2021-05-17,158,0,0
台北市,2021-05-18,102,0,0
台北市,2021-05-19,70,0,0
台北市,2021-05-20,87,0,0
台北市,2021-05-21,127,103.14285714285714,Inf
台北市,2021-05-22,269,128.85714285714286,0.24930747922437682
台北市,2021-05-23,88,128.71428571428572,-0.0011086474501108333
台北市,2021-05-24,247,141.42857142857142,0.09877913429522736
台北市,2021-05-25,204,156,0.10303030303030312
台北市,2021-05-26,308,190,0.21794871794871795
台北市,2021-05-27,231,210.57142857142858,0.10827067669172939
台北市,2021-05-28,208,222.14285714285714,0.05495251017639069
台北市,2021-05-29,168,207.71428571428572,-0.06495176848874593
台北市,2021-05-30,85,207.28571428571428,-0.0020632737276479463
台北市,2021-05-31,122,189.42857142857142,-0.08614748449345282
台北市,2021-06-01,87,172.71428571428572,-0.08823529411764695
台北市,2021-06-02,152,150.42857142857142,-0.12903225806451624
台北市,2021-06-03,224,149.42857142857142,-0.006647673314339982
台北市,2021-06-04,152,141.42857142857142,-0.05353728489483748
台北市,2021-06-05,144,138,-0.02424242424242416
台北市,2021-06-06,64,135,-0.021739130434782608
台北市,2021-06-07,60,126.14285714285714,-0.06560846560846564
台北市,2021-06-08,54,121.42857142857143,-0.03737259343148353
台北市,2021-06-09,63,108.71428571428571,-0.10470588235294125
台北市,2021-06-10,58,85,-0.21813403416557156
台北市,2021-06-11,49,70.28571428571429,-0.17310924369747893
台北市,2021-06-12,65,59,-0.16056910569105698
台北市,2021-06-13,62,58.714285714285715,-0.00484261501210652
台北市,2021-06-14,42,56.142857142857146,-0.04379562043795617
台北市,2021-06-15,26,52.142857142857146,-0.07124681933842239
台北市,2021-06-16,50,50.285714285714285,-0.03561643835616446
台北市,2021-06-17,34,46.857142857142854,-0.06818181818181822
台北市,2021-06-18,71,50,0.06707317073170739
台北市,2021-06-19,30,45,-0.1
台北市,2021-06-20,31,40.57142857142857,-0.09841269841269845
