county,date,new_cases
苗栗縣,2021-06-26,1
彰化縣,2021-06-26,1
新竹縣,2021-06-26,1
宜蘭縣,2021-06-26,0
台中市,2021-06-26,0
高雄市,2021-06-26,0
新竹市,2021-06-26,0
雲林縣,2021-06-26,0
台南市,2021-06-26,0
嘉義市,2021-06-26,0
嘉義縣,2021-06-26,0
花蓮縣,2021-06-26,0
台東縣,2021-06-26,0
南投縣,2021-06-26,0
澎湖縣,2021-06-26,0
金門縣,2021-06-26,0
連江縣,2021-06-26,0
新北市,2021-06-27,41
台北市,2021-06-27,33
台南市,2021-06-27,8
桃園市,2021-06-27,3
屏東縣,2021-06-27,1
新竹市,2021-06-27,1
南投縣,2021-06-27,1
宜蘭縣,2021-06-27,0
彰化縣,2021-06-27,0
基隆市,2021-06-27,0
台中市,2021-06-27,0
新竹縣,2021-06-27,0
苗栗縣,2021-06-27,0
高雄市,2021-06-27,0
